,행정동명,시군구명,행정동명.1,행정동코드,버스정류소개수,음식점개수,주점개수,지하철역개수,자동차소유대수,예측건수
0,강남구 역삼1동,강남구,역삼1동,1168064000,51.0,1634.0,310.0,3.0,21032.0,359.89199756444367
1,강남구 압구정동,강남구,압구정동,1168054500,25.0,679.0,161.0,2.0,12258.0,170.20787864089533
2,강남구 논현2동,강남구,논현2동,1168053100,26.0,698.0,112.0,2.0,10196.0,150.27546594799284
3,강남구 논현1동,강남구,논현1동,1168052100,17.0,548.0,106.0,2.0,10388.0,134.8006055265071
4,강남구 신사동,강남구,신사동,1168051000,16.0,576.0,99.0,2.0,7748.0,129.68780493674052
5,강남구 개포1동,강남구,개포1동,1168066000,15.0,6.0,0.0,0.0,3875.0,-16.90517344249914
6,강남구 일원1동,강남구,일원1동,1168073000,15.0,119.0,20.0,0.0,4607.0,4.153270000727396
7,강남구 개포4동,강남구,개포4동,1168069000,28.0,141.0,19.0,0.0,8552.0,11.42291616635734
8,강남구 일원본동,강남구,일원본동,1168072000,29.0,29.0,2.0,1.0,8307.0,12.788612479287018
9,강남구 개포3동,강남구,개포3동,1168067500,11.0,43.0,1.0,1.0,6205.0,14.51396542474599
10,강동구 길동,강동구,길동,1174068500,34.0,430.0,183.0,1.0,15918.0,135.69564943355124
11,강동구 성내2동,강동구,성내2동,1174065000,18.0,217.0,42.0,2.0,6408.0,66.72183043187863
12,강동구 성내3동,강동구,성내3동,1174066000,15.0,304.0,65.0,1.0,6976.0,66.02150826951814
13,강동구 천호2동,강동구,천호2동,1174061000,27.0,365.0,92.0,0.0,9412.0,63.670366541495376
14,강동구 명일1동,강동구,명일1동,1174053000,18.0,208.0,35.0,1.0,8341.0,47.29345509740478
15,강동구 둔촌1동,강동구,둔촌1동,1174069000,9.0,0.0,0.0,0.0,545.0,-23.43130318113025
16,강동구 암사3동,강동구,암사3동,1174059000,9.0,31.0,3.0,0.0,6304.0,-5.743413468006576
17,강동구 상일2동,강동구,상일2동,1174052600,18.0,16.0,0.0,1.0,696.0,-3.550417221708244
18,강동구 고덕1동,강동구,고덕1동,1174055000,24.0,60.0,6.0,0.0,8453.0,-1.0391638025116698
19,강동구 강일동,강동구,강일동,1174051500,48.0,61.0,1.0,0.0,12721.0,-0.002496371260299668
20,강북구 수유3동,강북구,수유3동,1130563500,22.0,421.0,208.0,0.0,5000.0,101.40343204135931
21,강북구 우이동,강북구,우이동,1130564500,35.0,200.0,41.0,3.0,5875.0,78.66788627766454
22,강북구 송중동,강북구,송중동,1130554500,60.0,287.0,87.0,1.0,6999.0,58.42732086744392
23,강북구 번1동,강북구,번1동,1130559500,22.0,213.0,64.0,1.0,4781.0,48.52582910083169
24,강북구 미아동,강북구,미아동,1130553500,25.0,230.0,55.0,1.0,4767.0,46.351753283880335
25,강북구 번2동,강북구,번2동,1130560300,41.0,36.0,4.0,0.0,3621.0,-20.542473036948532
26,강북구 번3동,강북구,번3동,1130560800,39.0,55.0,5.0,0.0,4488.0,-15.515632032017274
27,강북구 인수동,강북구,인수동,1130566000,49.0,134.0,35.0,0.0,7514.0,7.559423101257234
28,강북구 삼각산동,강북구,삼각산동,1130557500,19.0,97.0,9.0,0.0,9378.0,7.689823722869718
29,강북구 수유1동,강북구,수유1동,1130561500,38.0,161.0,20.0,1.0,5595.0,24.65079471401321
30,강서구 가양1동,강서구,가양1동,1150060300,55.0,891.0,164.0,2.0,26665.0,218.76401918367503
31,강서구 화곡1동,강서구,화곡1동,1150054000,29.0,345.0,215.0,1.0,15999.0,139.1059283367406
32,강서구 방화2동,강서구,방화2동,1150064000,36.0,168.0,56.0,3.0,9349.0,88.03038182851478
33,강서구 방화1동,강서구,방화1동,1150063000,44.0,258.0,28.0,2.0,14972.0,78.31932249055322
34,강서구 공항동,강서구,공항동,1150062000,65.0,205.0,52.0,2.0,11520.0,66.61689713540213
35,강서구 화곡2동,강서구,화곡2동,1150055000,29.0,51.0,7.0,0.0,4832.0,-11.493820285339382
36,강서구 가양2동,강서구,가양2동,1150060400,13.0,39.0,8.0,0.0,4200.0,-9.15546728208004
37,강서구 등촌2동,강서구,등촌2동,1150053000,7.0,67.0,6.0,0.0,6696.0,0.7571099398203671
38,강서구 화곡8동,강서구,화곡8동,1150059300,25.0,164.0,28.0,0.0,6098.0,12.329805022310886
39,강서구 등촌3동,강서구,등촌3동,1150053500,48.0,227.0,18.0,0.0,9117.0,15.88735599735785
40,관악구 신림동,관악구,신림동,1162069500,17.0,276.0,188.0,0.0,4578.0,79.02304661647713
41,관악구 서원동,관악구,서원동,1162064500,16.0,218.0,112.0,1.0,5087.0,68.20797903303165
42,관악구 낙성대동,관악구,낙성대동,1162058500,37.0,337.0,76.0,1.0,3958.0,59.980958923985845
43,관악구 청룡동,관악구,청룡동,1162059500,20.0,262.0,49.0,1.0,7592.0,55.776206296371335
44,관악구 조원동,관악구,조원동,1162072500,26.0,197.0,79.0,1.0,4995.0,51.26496550109953
45,관악구 난향동,관악구,난향동,1162071500,15.0,26.0,3.0,0.0,4838.0,-11.449885763217337
46,관악구 삼성동,관악구,삼성동,1162074500,31.0,60.0,10.0,0.0,5884.0,-7.640876608603122
47,관악구 청림동,관악구,청림동,1162054500,10.0,54.0,10.0,0.0,4357.0,-5.556142965628251
48,관악구 성현동,관악구,성현동,1162056500,28.0,63.0,3.0,0.0,8323.0,-3.2390012724774664
49,관악구 난곡동,관악구,난곡동,1162077500,23.0,67.0,16.0,0.0,6307.0,-1.43519922793865
50,광진구 화양동,광진구,화양동,1121571000,22.0,535.0,178.0,0.0,4140.0,101.57870989690625
51,광진구 군자동,광진구,군자동,1121573000,22.0,244.0,52.0,2.0,5160.0,69.10245648304792
52,광진구 구의1동,광진구,구의1동,1121585000,13.0,282.0,67.0,1.0,6686.0,64.22172852148313
53,광진구 자양4동,광진구,자양4동,1121584700,13.0,287.0,48.0,1.0,5139.0,54.629985533520234
54,광진구 자양3동,광진구,자양3동,1121584000,16.0,122.0,8.0,1.0,9386.0,31.46037661942291
55,광진구 중곡4동,광진구,중곡4동,1121577000,33.0,136.0,29.0,0.0,7429.0,10.269463819586754
56,광진구 중곡2동,광진구,중곡2동,1121575000,17.0,154.0,28.0,0.0,5212.0,11.575313361902964
57,광진구 자양2동,광진구,자양2동,1121583000,15.0,123.0,22.0,0.0,8278.0,13.723203425716115
58,광진구 구의2동,광진구,구의2동,1121586000,20.0,173.0,21.0,0.0,7279.0,15.097068938736129
59,광진구 능동,광진구,능동,1121578000,9.0,96.0,21.0,1.0,3050.0,20.62903168117098
60,구로구 구로3동,구로구,구로3동,1153054000,44.0,576.0,83.0,1.0,8883.0,97.95698614451075
61,구로구 구로5동,구로구,구로5동,1153056000,32.0,380.0,63.0,1.0,11679.0,79.44094656265892
62,구로구 구로4동,구로구,구로4동,1153055000,19.0,233.0,99.0,1.0,7549.0,70.11684732867468
63,구로구 구로2동,구로구,구로2동,1153053000,39.0,352.0,96.0,0.0,10547.0,62.66000529052301
64,구로구 신도림동,구로구,신도림동,1153051000,43.0,208.0,21.0,1.0,12771.0,45.17419920634726
65,구로구 항동,구로구,항동,1153080000,31.0,44.0,1.0,0.0,3539.0,-17.91179323005874
66,구로구 개봉3동,구로구,개봉3동,1153076000,21.0,107.0,21.0,0.0,5738.0,3.9907372893027286
67,구로구 개봉2동,구로구,개봉2동,1153075000,25.0,94.0,25.0,0.0,9241.0,10.804799671694589
68,구로구 고척2동,구로구,고척2동,1153073000,35.0,142.0,33.0,0.0,8676.0,14.586893024742125
69,구로구 가리봉동,구로구,가리봉동,1153059500,9.0,132.0,54.0,0.0,2730.0,14.845931342798977
70,금천구 가산동,금천구,가산동,1154551000,102.0,828.0,88.0,1.0,20010.0,135.73399431775584
71,금천구 시흥1동,금천구,시흥1동,1154567000,41.0,342.0,127.0,1.0,11891.0,95.25201432738476
72,금천구 독산1동,금천구,독산1동,1154561000,67.0,330.0,55.0,0.0,17953.0,54.703020272655316
73,금천구 독산3동,금천구,독산3동,1154563000,21.0,220.0,70.0,0.0,7600.0,37.70014715701361
74,금천구 독산4동,금천구,독산4동,1154564000,16.0,128.0,45.0,0.0,4510.0,13.290909205418764
75,금천구 시흥2동,금천구,시흥2동,1154568000,19.0,20.0,4.0,0.0,7155.0,-7.63062064320607
76,금천구 시흥4동,금천구,시흥4동,1154570000,24.0,50.0,18.0,0.0,6283.0,-2.966653013116172
77,금천구 시흥3동,금천구,시흥3동,1154569000,14.0,86.0,12.0,0.0,4388.0,-2.459344414360409
